doc_number,corp_name,status,filing_type,address_1,address_2,city,state,zip_code,file_date,fei_number,registered_agent,ra_city,ra_state,email_1,email_1_score,email_2,email_2_score,email_3,email_3_score,website_found
L26000175584,HUMAN SYSTEMS COLLECTIVE LLC,A,FLAL,525 COX ROAD,,COCOA,,32926,03262026,,ZENBUSINESS INC.,TALLAHASSEE,FL,,,,,,,
L26000175884,TCM HOME SOLUTIONS LLC.,A,FLAL,3034 SE ORANGE TREE PLACE,,STUART,,34997,03262026,,EVAN                MARK          TJR.,STUART,FL,,,,,,,
L26000176024,PS TRUCKING TECH LLC,A,FLAL,2245 MALIBU LAKES CIRCLE,APT 434,NAPLES,,34119,03262026,,SAINTILIEN          PRESLER,NAPLES,FL,,,,,,,
L26000176054,SUNSHINE BIOMED SOLUTIONS LLC,A,FLAL,9701 NE 2ND AVE,#1189,MIAMI SHORES,,33138,03262026,,JACKSON             SHAKELA,MIAMI SHORES,FL,,,,,,,
L26000176064,REALTY AI LLC,A,FLAL,2261 KERRA LN,,NAVARRE,,32566,03262026,,JONES               KIOWA         D,NAVARRE,FL,,,,,,,
L26000176154,"A&D CONTRACTING SOLUTIONS, LLC",A,FLAL,11061 SW 60TH STREET,,MIAMI,,33173,03262026,,SANCHEZ             DANIEL,MIAMI,FL,,,,,,,
L26000176214,"OPTIMAL DIGITAL TRANSFORMATION GROUP, LLC",A,FLAL,5146 KERNWOOD CT,,PALM HARBOR,,34685--361,03262026,,NORTON              TERESA,PALM HARBOR,FL,,,,,,,
L26000176344,GEMSTONE FINANCIAL CONSULTING LLC,A,FLAL,"2275 BISCAYNE BOULEVARD, SUITE 2",,MIAMI,,33137,04022026,,"ALEX D.SIRULNIK, P.A.",CORAL GABLES,FL,,,,,,,
L26000176404,KOOSTA SYSTEMS LLC,A,FLAL,2315 NW FLAGLER TERRACE,,MIAMI,,33125,03262026,,GUSTAVO             GONZALEZ,MIAMI,FL,,,,,,,
L26000176514,"PED PRO SOLUTIONS, LLC",A,FLAL,"408 NORTHEAST 6TH STREET, UNIT 339",,FT.LAUDERDALE,,33304,04022026,,"SPIEGEL & UTRERA, P.A.",MIAMI,FL,,,,,,,
L26000176764,HYPERFIBER SOLUTIONS LLC,A,FLAL,801 THREE ISLANDS BLVD,514,HALLANDALE BEACH,,33009,03262026,,KAZAKHMEDOV         RUSTAM,HALLANDALE BEACH,FL,,,,,,,
L26000175255,"KAEWE KEALOHA CONSULTING, LLC",A,FLAL,278 SW 3RD STREET,,DEERFIELD BEACH,,33441,03262026,,DIAZ                JACQUELINE,DEERFIELD BEACH,FL,,,,,,,
L26000175265,EVER UPWARD SOLUTIONS LLC,A,FLAL,2135 NW SETTLE AVE,,PORT SAINT LUCIE,,34986,03262026,,BARRETT             ROBERT        H,PORT SAINT LUCIE,FL,,,,,,,
L26000175275,SALT PREP CONSULTING LLC,A,FLAL,455 LAKEVIEW DR,,SANTA ROSSA BEACH,,32459,03252026,,MCNALLY             MARIO         RJR,SANTA ROSA BEACH,FL,,,,,,,
L26000175325,"OPTIMUM CONSULTING AND PROMOTIONS, LLC",A,FLAL,29255 CLARA DR,,PUNTA GORDA,,33982,03262026,,SOUSER              ZACHERY,PUNTA GORDA,FL,,,,,,,
L26000175415,COPEL CONSULTING LLC,A,FLAL,3208 E COLONIAL DRIVE,SUITE 111,ORLANDO,,32803,03262026,,COPELAND            MEGAN         E,ORLANDO,FL,,,,,,,
P26000017405,RIVERGREEN DEVELOPMENT CORP,A,DOMP,5600 NORTH FEDERAL HIGHWAY,,FORT LAUDERDALE,,33308,04012026,,LYNN                MARK          JESQ,FORT LAUDERDALE,FL,,,,,,,
L26000175475,SUMMIT MEDIA SOLUTIONS LLC,A,FLAL,1100 PARK CENTRAL BLVD S,STE 2600,POMPANO BEACH,,33064,03252026,,POWERS              JAMES,POMPANO BEACH,FL,,,,,,,
F26000001985,"COX AUTOMOTIVE MOBILITY SOLUTIONS, INC.",A,FORP,6205 PEACHTREE DUNWOODY RD.,,ATLANTA,,30328,04022026,,CORPORATION SERVICE COMPANY,TALLAHASSEE,FL,,,,,,,
L26000175525,MECHANICAL CLAIM SOLUTIONS LLC,A,FLAL,1001 59TH STREET SOUTH,,GULFPORT,,33707,03262026,,ZENBUSINESS INC.,TALLAHASSEE,FL,,,,,,,
L26000175545,LITTLE FOOT AIR QUALITY LLC,A,FLAL,249 40TH AVE S,,JACKSONVILLE BEACH,,32250,03262026,,"FINANCIAL SOLUTION ADVISORS CPA, LLC",JACKSONVILLE,FL,,,,,,,
L26000175595,LAMEDA SOLUTIONS LLC,A,FLAL,1603 RED CEDAR DRIVE,15,FORT MYERS,,33907,03232026,,LAMEDA MORILLO      JESUS         D,FORT MYERS,FL,,,,,,,
L26000175635,PEACOCK HOME SOLUTIONS LLC,A,FLAL,2080 SOUTH COURTENAY PKWY,,MERRITT ISLAND,,32952,03212026,,PEACOCK             JEREMY,MERRITT ISLAND,FL,,,,,,,
L26000175745,"RMZ FENCE & EXTERIOR SOLUTIONS, LLC",A,FLAL,223 HIBISCUS PKWY W,,LAKELAND,,33815,03242026,,INC AUTHORITY RA,ORLANDO,FL,,,,,,,
P26000017545,"ALPHA CREDIT & CAPITAL READINESS, INC.",A,DOMP,217 SE 1ST AVENUE SUITE 200,200,OCALA,,34471,03302026,,LANDMARK            JOSEPH,OCALA,FL,,,,,,,
L26000175835,"SECURE CYBER-IT, LLC",A,FLAL,12834 SHERINGHAM WAY,,SARASOTA,,34240,03252026,,INC AUTHORITY RA,ORLANDO,FL,,,,,,,
L26000176205,NUON CONSULTING LLC,A,FLAL,6420 WASHINGTON STREET,,HOLLYWOOD,,33023,03262026,,BELTRAN             KATHERINE,HOLLYWOOD,FL,,,,,,,
L26000176485,JAMKAT RV SOLUTIONS LLC,A,FLAL,505 NW 21ST AVE,103,CHEIFLAND,,32626,03262026,,ANTLEY              JAMES         RJR,CHEIFLAND,FL,,,,,,,
P26000017565,CLOUD HAVEN INC,A,DOMP,4027 CORTEZ ROAD,,BRADENTON,,34210,04032026,,ZAHER               SAMIR,BRADENTON,FL,,,,,,,
L26000176685,SUNLIT HOMES LLC,A,FLAL,1016 W BEARSS AVE,,TAMPA,,33613--110,03262026,,VALDES              ALEXANDER     KSR,TAMPA,FL,,,,,,,
L26000176735,GULFWAY APP L.L.C.,A,FLAL,205 SHORE DRIVE,G,PALM HARBOR,,34683,03262026,,PIKOS               ANTHONY       M,PALM HARBOR,FL,,,,,,,
L26000175116,PRESTIGE STRUCTURE CONSULTING LLC,A,FLAL,3321 INDIAN TRL,,EUSTIS,,32726,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,,,,,,,
L26000175166,D SMART SOLUTIONS LLC,A,FLAL,7901 4TH ST N STE 300,,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,,,,,,,
L26000175186,KEEPING IT IN THE COOP LLC,A,FLAL,2005 E DR MARTIN LUTHER KING JR BLVD,,TAMPA,,33610,03212026,,DAVIS               RESHEA,TAMPA,FL,,,,,,,
L26000175276,WALLER UTILITY CONSULTING LLC,A,FLAL,10909 S. RUNNING DEER PT.,,INVERNESS,,34452,03262026,,WALLER              TALIA         M,INVERNESS,FL,,,,,,,
L26000175356,SVJ HOME SOLUTIONS LLC,A,FLAL,7901 4TH ST N STE 300,,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,,,,,,,
L26000175416,WEST MOBILE TIRE LLC,A,FLAL,422 S B ST APT B1,,LAKE WORTH,,33460,03262026,,ORDONEZ MENDEZ      RIGOBERTO,LAKE WORTH,FL,,,,,,,
L26000175426,VAYL TECHNOLOGIES LLC,A,FLAL,594 CORAL GLEN LOOP,205,ALTAMONNTE SPRINGS,,32714,06162026,,ARCE                RONALD        MJR,ALTAMONTE SPRINGS,FL,,,,,,,
P26000017416,AIAURORA TECH INC,A,DOMP,7901 4TH STREET NORTH,STE 300,ST. PETERSBURG,,33702,03272026,,REGISTERED AGENTS INC,ST. PETERSBURG,FL,,,,,,,
P26000017476,BESIL SOLUTIONS CORP,A,DOMP,612 SW 93RD PL,,MIAMI,,3374,03272026,,FONT BESIL          LUIS          E,MIAMI,FL,,,,,,,
L26000175586,HOME SOLUTIONS BY JLN LLC,A,FLAL,7901 4TH ST N STE 300,,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,,,,,,,
