Doc Number,Corp Name,Filing Type,Status,Address,City,State,Zip,File Date,FEI Number,Registered Agent,RA City,RA State,Officers,Source File
L26000175470,LQ INVESTMENTS PORTFOLIO 21 LLC,FLAL,A,2031 HARRISON ST,HOLLYWOOD,,33020,03262026,,FRIEDMAN            BRENT A.,MIAMI,FL,MGR: DANIELLOU           ROMAIN | MGR: GUEANT              THIBAUT,20260403_corporate.txt
L26000175500,MIPTAG ATHLETECH MANUFACTURING LLC,FLAL,A,66 WEST FLAGLER STREET SUIT 900,MIAMI,,33130,03262026,,ZENBUSINESS INC.,TALLAHASSEE,FL,AMBR: LABS                UNIT 52 | AMBR: GRANT               XAN,20260403_corporate.txt
L26000175520,MONACO 28 INVESTMENTS LLC,FLAL,A,2445 S HIAWASSEE RD. UNIT 1065,ORLANDO,,32835,03262026,,REPUBLIC REGISTERED AGENT LLC,JACKSONVILLE,FL,AMBR: HUNG CHENG          BELINO,20260403_corporate.txt
L26000175530,LAGUERRE CONSULTING GROUP LLC,FLAL,A,1015 NW 7TH ST,BOYNTON BEACH,,33426,03262026,,LAGUERRE            LENNY,BOYNTON BEACH,FL,MGR: LAGUERRE            LENNY,20260403_corporate.txt
P26000017480,JCM IMPROVEMENT AND SOLUTIONS INC,DOMP,A,2271 NW 159 AVE,PEMBROKE PINES,,33028,03272026,,MARIN               JUAN CARLOS,PEMBROKE PINES,FL,P: MARIN               JUAN CARLOS,20260403_corporate.txt
L26000175780,"NEXTWAVE VENDING SOLUTIONS, LLC",FLAL,A,2431 W 70TH ST,HIALEAH,,33016,03252026,,INC AUTHORITY RA,ORLANDO,FL,MGR: ALFONSO             MICHAEL,20260403_corporate.txt
L26000175790,"STEVENSON DIGITAL, LLC",FLAL,A,933 W KALMIA DR APT D2,LAKE PARK,,33403,03242026,,INC AUTHORITY RA,ORLANDO,FL,MGR: JEAN JACQUES        STEVENSON,20260403_corporate.txt
L26000175830,4 M LAKE PROPERTY LLC,FLAL,A,19030 1ST STREET NE,LUTZ,,33549,04022026,,SYKES               BRYAN         WESQ,CLEARWATER,FL,MGR: MORROW              THOMAS        J,20260403_corporate.txt
P26000017550,ALBA HOSPITALITY CONSULTING CORP.,DOMP,A,7350 SW 58TH CT APT 736,SOUTH MIAMI,,33143,03302026,,"LEGALZOOM USCA, INC.",FORT LAUDERDALE,FL,PST: MCINTYRE            DAVID         A | D: FIORI               MELISSA       M,20260403_corporate.txt
L26000175840,"POCKETHOUSE SYSTEMS, LLC",FLAL,A,1661 RINGLING BLVD,SARASOTA,,34230,03252026,,INC AUTHORITY RA,ORLANDO,FL,MGR: BOWEN               MARK,20260403_corporate.txt
L26000175880,"NEXT MOVE LOGISTICS SOLUTIONS, LLC",FLAL,A,2989 SIESTA VIEW DR.,KISSIMMEE,,34744,03262026,,DE GRANDIS CLEMENTI EMMA,KISSIMMEE,FL,AMBR: DE GRANDIS CLEMENTI EMMA | AMBR: BORJAS AGUILAR      SULEYMA       C,20260403_corporate.txt
L26000175890,"RAMUDDEN URBAN SOLUTIONS, LLC",FLAL,A,109 DINNERBELL ROAD,BUTLER,,16002,03262026,,"URS AGENTS, LLC",TALLAHASSEE,FL,MGR: SCHULTZ             FORREST | MGR: RADCHUCK            PAUL          R,20260403_corporate.txt
L26000175910,J2Z TECH LLC,FLAL,A,3081 NW 20TH ST,FORT LAUDERDALE,,33311,04012026,,HARDEN              JONATHAN      Z,FORT LAUDERDALE,FL,MGR: HARDEN              JOHNATHAN     Z,20260403_corporate.txt
L26000175920,NAT PROPERTY MANAGEMENT LLC,FLAL,A,9300 CONROY WINDERMERE ROAD # 3212,WINDERMERE,,34786,03272026,,STEPHEN             SHILPA,WINDERMERE,FL,MGR: STEPHEN             SHILPA | MGR: STEPHEN             ASHISH,20260403_corporate.txt
L26000175960,HALSEY VENTURES LLC,FLAL,A,5505 MICANOPY DRIVE,MILTON,,32570,03262026,,SMITH               AMBER         M,MILTON,FL,AMBR: SMITH               AMBER         M | AMBR: SMITH               STEPHEN       M,20260403_corporate.txt
L26000176020,LEE DESIGN GROUP LLC,FLAL,A,1201 FAIRWAY AVE S,ST PETERSBURG,,33507,03262026,,LEE                 LOGAN,ST PETERSBURG,FL,MGR: LEE                 LOGAN,20260403_corporate.txt
L26000176200,GULF COAST MARINE SYSTEMS LLC,FLAL,A,7901 4TH ST N STE 300,ST. PETERSBURG,,33702,03262026,,REGISTERED AGENTS INC,ST. PETERSBURG,FL,,20260403_corporate.txt
L26000176210,"TAQ SOLUTIONS, LLC",FLAL,A,5981 WESTAFALL RD,GREENACRES,,33463,03262026,,"AFFIX TAX SOLUTIONS, LLC",LAKE WORTH,FL,MGR: PACHECO             MAURILIO,20260403_corporate.txt
L26000176230,"NEVERMISS AI, LLC",FLAL,A,50 N. LAURA STREET SUITE 2500,JACKSONVILLE,,32202,03262026,,BUCHANAN            STEVEN         JR,JACKSONVILLE,FL,AR: BUCHANAN            STEVEN         JR,20260403_corporate.txt
L26000176390,BLUTEK SYSTEMS LLC,FLAL,A,5864 SW 74TH TER APT C,MIAMI,,33143,04022026,415285114,PEREZ               IBRAHIN,MIAMI,FL,AMBR: PEREZ               IBRAHIN,20260403_corporate.txt
L26000176590,JT VENTURES DIGITAL LLC,FLAL,A,6022 WESTGATE DR AP 103,ORLANDO,,32835,03262026,,COSTA               JULIANA,ORLANDO,FL,MGR: COSTA               JULIANA,20260403_corporate.txt
L26000176600,GB QUALITY ELECTRICAL SOLUTIONS LLC,FLAL,A,3321 SILVERPOND DR,PLANT CITY,,33566,03262026,,CONTRERAS           GAMALIEL,PLANT CITY,FL,MGR: CONTRERAS           GAMALIEL | MGR: CONTRERAS           BETCY         K,20260403_corporate.txt
L26000176610,KJW LAUNDRY SOLUTIONS LLC,FLAL,A,4850 CEDAR BAY,KISSIMMEE,,34746,04262026,,PARIS INTEGRATED SERVICES LLC,KISSIMMEE,FL,MGR: LIRANZO             KEYLA         M | S: VERDEJO             JUAN          C | T: VOLQUEZ             WILDA         I,20260403_corporate.txt
L26000176740,LMZ WELLNESS LLC,FLAL,A,71 W 63RD ST,HIALEAH,,33012,03262026,,FERNANDEZ           LISANDRA,HIALEAH,FL,AMBR: FERNANDEZ           LISANDRA,20260403_corporate.txt
L26000176750,AAG INVESTMENT LLC,FLAL,A,28110 SW 175 AVE,HOMESTEAD,,33030,03252026,,SIDDIQKARA          GABRIELLA,MIAMI,FL,MGR: SIDDIQKARA          AKBAR         P | MGR: SIDDIQKARA          GABRIELLA | MGR: VIAMONTE            ARNALDO,20260403_corporate.txt
L26000175091,PRAEX CYBER INTELLIGENCE LABS LLC,FLAL,A,7901 4TH ST N STE 300,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,,20260403_corporate.txt
L26000175191,EVERGREEN SOLUTIONS OF CENTRAL FLORIDA LLC,FLAL,A,1070 MONTGOMERY RD UNIT 330,ALTAMONTE SPRINGS,,32714,03262026,,MATEO CORTES        JOSE          LSR.,KISSIMMEE,FL,AMBR: KRAMER              AYDEN,20260403_corporate.txt
L26000175261,LOCHIUM FUNIS PROPERTY LLC,FLAL,A,225 E ROBINSON STREET STE 220,ORLANDO,,32801,03262026,,CORPORATE AGENT ALLIANCE LLC,ORLANDO,FL,MGR: DELBEN SILVA        ANDRE PAULO | MGR: REBOUCAS DE MELO    RAFAEL | MGR: PEDREIRA MAGALHAES  VICTOR,20260403_corporate.txt
L26000175271,BLESSED BY MAI L.L.C.,FLAL,A,4900 WE 46TH CT 908,OCALA,,34474,03262026,,ESTES               TATYANA,OCALA,FL,AMBR: ESTES               TATYANA,20260403_corporate.txt
L26000175281,NOCTUA MINOR PROPERTY LLC,FLAL,A,225 E ROBINSON STREET STE 220,ORLANDO,,32801,03262026,,CORPORATE AGENT ALLIANCE LLC,ORLANDO,FL,MGR: DELBEN SILVA        ANDRE PAULO | MGR: REBOUCAS DE MELO    RAFAEL | MGR: PEDREIRA MAGALHAES  VICTOR,20260403_corporate.txt
L26000175291,ARM PROPERTY  RENOVATION LLC,FLAL,A,20121 SW 92 AVE,CUTLER BAY,,33189,04012026,,CONTINO             ROBERTO,CUTLER BAY,FL,,20260403_corporate.txt
L26000175301,RAMUS POMIFER PROPERTY LLC,FLAL,A,225 E ROBINSON STREET STE 220,ORLANDO,,32801,03262026,,CORPORATE AGENT ALLIANCE LLC,ORLANDO,FL,MGR: DELBEN SILVA        ANDRE PAULO | MGR: REBOUCAS DE MELO    RAFAEL | MGR: PEDREIRA MAGALHAES  VICTOR,20260403_corporate.txt
L26000175311,JUAREZ DESIGN LLC,FLAL,A,7906 SANTA CLARA BLVD,FORT PIERCE,,34951,03262026,,JUAREZ              EDWIN         R,FORT PIERCE,FL,MGR: JUAREZ              EDWIN         R,20260403_corporate.txt
L26000175341,VULTUR CADENS PROPERTY LLC,FLAL,A,225 E ROBINSON STREET STE 220,ORLANDO,,32801,03262026,,CORPORATE AGENT ALLIANCE LLC,ORLANDO,FL,MGR: DELBEN SILVA        ANDRE PAULO | MGR: REBOUCAS DE MELO    RAFAEL | MGR: PEDREIRA MAGALHAES  VICTOR,20260403_corporate.txt
P26000017401,WOLF CONSULTING NETWORK INC.,DOMP,A,10155 CHERRY HILLS AVE CIR,BRADENTON,,34202,03272026,,WOLF                MICHAEL       H,BRADENTON,FL,P: WOLF                MICHAEL,20260403_corporate.txt
L26000175471,MARKETING SERVICES LANE LLC,FLAL,A,14629 SW 104TH ST 152,MIAMI,,33186,03262026,,BLANCO              ARIEL,MIAMI,FL,MGR: BLANCO              ARIEL,20260403_corporate.txt
P26000017451,MSPNTECHAI CORP.,DOMP,A,2410 OVERFALLS PL,WESLEY CHAPEL,,33543,03272026,,"LEGALZOOM USCA, INC.",FORT LAUDERDALE,FL,PD: LOGANATHAN          PRASSANNA | S: PRASSANNA           SRIVATSAN | T: SANKARAVADIVELU     NIRANJANA,20260403_corporate.txt
P26000017461,A.C.E INVESTMENT GROUP HOLDINGS INC,DOMP,A,6135 WOODVILLE HWY APT 12,TALLAHASSEE,,32305,03222026,,RAMOS               ANGEL         J,TALLAHASSEE,FL,P: RAMOS               ANGEL         J,20260403_corporate.txt
L26000175631,WELLMIND TECHNOLOGY  LLC,FLAL,A,378 BLUE BAYOU LANE,WINTER SPRINGS,,32708,03232026,,WALKER              SHAWNNA       D,WINTER SPRINGS,FL,AR: LOWE                EMORY         D,20260403_corporate.txt
L26000175831,ATALA INVESTMENTS LLC,FLAL,A,7387 SW 74TH LANE,MIAMI,,33143,04022026,,MESTAYER            ILIANA,MIAMI,FL,MMBR: MESTAYER            ILIANA,20260403_corporate.txt
P26000017551,1-2-3 LOPEZ HOME SOLUTIONS CORP,DOMP,A,15327 SW 58 TER,MIAMI,,33193,04012026,,LOPEZ MEJIAS        MAYKELL,MIAMI,FL,P: LOPEZ MEJIAS        MAYKELL,20260403_corporate.txt
L26000175871,METRIC ENGINEERING LLC,FLAL,A,13940 SW 136TH STREET SUITE 200,MIAMI,,33186,04012026,,PEREZ               MARILEY,MIAMI,FL,AMBR: BENITEZ             VERONICA,20260403_corporate.txt
P26000017561,GOLDEN BUILDING SUPPLIES INC,DOMP,A,16 ANN LEE LANE,TAMARAC,,33319,04022026,,BUDHOO              HEATHER,TAMARAC,FL,VP: BUDHOO              HEATHER | PRES: MITCHELL-DALEY      MELISSA | TRES: DALEY               KERA,20260403_corporate.txt
L26000176001,REITOL SOLUTIONS LLC,FLAL,A,6017 WASHINGTON STREET 500,HOLLYWOOD,,33023,03262026,,ARRECHEA            ODALIS,HOLLYWOOD,FL,AMBR: ARRECHEA            ODALIS,20260403_corporate.txt
L26000176031,"PENNY CAPITAL, LLC",FLAL,A,1135 KANE CONCOURSE SECOND FLOOR,BAY HARBOR ISLANDS,,33154,03262026,,RAIJMAN             GINA          N,BAY HARBOR ISLANDS,FL,MGR: RAIJMAN             GINA          N,20260403_corporate.txt
L26000176041,KALTARA EDUCATION GROUP LLC,FLAL,A,7901 4TH ST N STE 300,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,AMBR: MORGAN              KEVIN,20260403_corporate.txt
L26000176091,"SELLER AI GROUP, LLC",FLAL,A,12470 NW 18TH CT,MIAMI,,33167,03262026,,INC AUTHORITY RA,ORLANDO,FL,MGR: CELESTIN            PIERRE,20260403_corporate.txt
L26000176131,BIG MAC FINANCIAL LLC,FLAL,A,7901 4TH ST N STE 300,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,,20260403_corporate.txt
L26000176151,ALR INNOVATIVE SOLUTIONS LLC,FLAL,A,7901 4TH STREET N SUITE 300,ST PETERSBURG,,33702,03262026,,REGISTERED AGENTS INC,ST PETERSBURG,FL,AMBR: APV GLOBAL PARTNERS LLC,20260403_corporate.txt
L26000176171,"DIOFERDI CONSTRUCTION, LLC",FLAL,A,342 BLUFF LANE,APOPKA,,34712,03262026,,AGUILAR  OROZCO     OVELIS        D,APOPKA,FL,MGR: AGUILAR OROZCO      OVELIS        D,20260403_corporate.txt
L26000176491,FINN DIGITAL LLC,FLAL,A,9472 SOUTHWEST 67TH LANE,GAINESVILLE,,32608,03262026,,FINNEGAN            THOMAS,GAINESVILLE,FL,MGR: FINNEGAN            THOMAS,20260403_corporate.txt
L26000176541,STERLING CAPITAL INVESTMENTS LLC,FLAL,A,36152 PRIMROSE LN,ZEPHYRHILLS,,33541--208,03252026,,EVANS               RICHARD,ZEPHYRHILLS,FL,MGR: EVANS               RICHARD,20260403_corporate.txt
L26000176551,CALI VITAL SOLUTIONS LLC,FLAL,A,7901 4TH ST N STE 300,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,AMBR: CALLAHAN            GIOVANNI,20260403_corporate.txt
L26000176651,"TOTAL PLAYER DEVELOPMENT, LLC",FLAL,A,5407 PENTAIL CIRCLE,TAMPA,,33625,03262026,,NARANJO             JUAN          J,TAMPA,FL,P: NARANJO             JUAN          J,20260403_corporate.txt
L26000176691,"VICTORIA'S HOUSE CAT CAY INVESTMENT PROPERTY UNIT 3B, LLC",FLAL,A,3525 NW 7TH ST,MIAMI,,33125,03222026,,RUIZ                JOHN          H,MIAMI,FL,,20260403_corporate.txt
L26000176711,NT MARKETING LLC,FLAL,A,7901 4TH ST N STE 300,ST. PETERSBURG,,33702,03262026,,SUNSHINE CORPORATE FILINGS LLC,ST. PETERSBURG,FL,AMBR: LIN                 LYNN,20260403_corporate.txt
L26000176731,"DESIGNS X NADINE, LLC",FLAL,A,"1266 1ST STREET, UNIT 108",SARASOTA,,34236,09202021,,KAUFMAN             KELLEY NADINE,SARASOTA,FL,AMBR: KAUFMAN             KELLEY NADINE,20260403_corporate.txt
L26000176741,"YH PROPERTY GROUP, LLC",FLAL,A,9 S. WILD OLIVE AVENUE,DAYTONA BEACH,,32118,03262026,,HUNG                YOHANA,DAYTONA BEACH,FL,AR: HUNG                YOHNA,20260403_corporate.txt
L26000176751,VISIONARY INVESTMENTS HOLDING COMPANY LLC,FLAL,A,558 STRASBURG DR,"PORT CHARLOTTE, FL",,33954,03262026,,OVERHOLT            JACOB         A,PORT CHARLOTTE,FL,MGR: OVERHOLT            JACOB         A,20260403_corporate.txt
L26000175092,PHSH CAPITAL LLC,FLAL,A,7901 4TH ST N STE 300,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,,20260403_corporate.txt
L26000175152,COUSINS CAPITAL GROUP LLC,FLAL,A,1108 W KENNEDY BLVD,TAMPA,,33606,03262026,,MANSOUR             JOSEPH,TAMPA,FL,MGR: MANSOUR             JOSEPH | MGR: MANSOUR             GHASSAN | MGR: MANSOUR             MATTHEW | MGR: MANSOUR             AHMED,20260403_corporate.txt
L26000175162,DERBYBUILT CONSTRUCTION LLC,FLAL,A,7901 4TH ST N STE 300,ST. PETERSBURG,,33702,03262026,,REGISTERED AGENTS INC,ST. PETERSBURG,FL,,20260403_corporate.txt
L26000175242,HONORES FRIDERICI PROPERTY LLC,FLAL,A,225 E ROBINSON STREET STE 220,ORLANDO,,32801,03262026,,CORPORATE AGENT ALLIANCE LLC,ORLANDO,FL,MGR: DELBEN SILVA        ANDRE PAULO | MGR: REBOUCAS DE MELO    RAFAEL | MGR: PEDREIRA MAGALHAES  VICTOR,20260403_corporate.txt
L26000175252,501 PROPERTY USA LLC,FLAL,A,1525 N PARK DR SUITE 104,WESTON,,33326,03262026,,AV ACCOUNTING ASSOCIATES CORP,WESTON,FL,MGR: BERMUDEZ            MAURICIO,20260403_corporate.txt
L26000175262,"JOHNSON REAL ESTATE, LLC",FLAL,A,1621 BAY ROAD APT 601,MIAMI BEACH,,33139,03262026,,JOHNSON             EKATERINA,MIAMI BEACH,FL,MGR: JOHNSON             EKATERINA | MGR: JOHNSON             NEAL,20260403_corporate.txt
L26000175272,K2 MEDIA LLC,FLAL,A,1743 COBIA AVENUE,PORT ST JOE,,32456,03262026,,CHAVOUS             ALISHA        M,PORT ST JOE,FL,CEO: CHAVOUS             ALISHA        M,20260403_corporate.txt
L26000175312,TRIANGULUM MINUS PROPERTY LLC,FLAL,A,225 E ROBINSON STREET STE 220,ORLANDO,,32801,03262026,,CORPORATE AGENT ALLIANCE LLC,ORLANDO,FL,MGR: DELBEN SILVA        ANDRE PAULO | MGR: REBOUCAS DE MELO    RAFAEL | MGR: PEDREIRA MAGALHAES  VICTOR,20260403_corporate.txt
L26000175322,FOXX TRAIL CONSULTING GROUP LLC,FLAL,A,1221 N.W. 91ST AVE,PEMBROKE PINES,,33024,03302026,,CALIXTE             JILL          M,PEMBROKE PINES,FL,MGR: CALIXTE             JILL          M,20260403_corporate.txt
L26000175332,TURDUS MINOR PROPERTY LLC,FLAL,A,225 E ROBINSON STREET STE 220,ORLANDO,,32801,03262026,,CORPORATE AGENT ALLIANCE LLC,ORLANDO,FL,MGR: DELBEN SILVA        ANDRE PAULO | MGR: REBOUCAS DE MELO    RAFAEL | MGR: PEDREIRA MAGALHAES  VICTOR,20260403_corporate.txt
L26000175362,MARTIN AND MONTESSORI EDUCATION LLC,FLAL,A,5310 LENOX AVE. SUITE 22,JACKSONVILLE,,32205,03222026,,MARTIN              DEBORAH       S,JACKSONVILLE,FL,MGR: MARTIN              DEBORAH       S | AR: MARTIN              DEBORAH,20260403_corporate.txt
L26000175392,"BLOOM THERAPY AND WELLNESS, LLC",FLAL,A,501 NE 5TH TERRACE APT 320,FORT LAUDERDALE,,33301,04012026,,CLINE               VICTORIA,FORT LAUDERDALE,FL,MGR: CLINE               VICTORIA,20260403_corporate.txt
L26000175422,VULTUR VOLANS PROPERTY LLC,FLAL,A,225 E ROBINSON STREET STE 220,ORLANDO,,32801,03262026,,CORPORATE AGENT ALLIANCE LLC,ORLANDO,FL,MGR: DELBEN SILVA        ANDRE PAULO | MGR: REBOUCAS DE MELO    RAFAEL | MGR: PEDREIRA MAGALHAES  VICTOR,20260403_corporate.txt
L26000175462,MAS PROFIX SOLUTIONS LLC,FLAL,A,10828 NW 2ND AVE,MIAMI SHORES,,33168,03262026,,SCHELOTTO           NATALIA,MIAMI SHORES,FL,MGR: SCHELOTTO           NATALIA,20260403_corporate.txt
L26000175492,2H CONSULTING LLC,FLAL,A,13481 NW 5TH CT,PLANTATION,,33325,03262026,,HERNANDEZ           PAOLA,PLANTATION,FL,AMBR: HERNANDEZ           PAOLA         S,20260403_corporate.txt
P26000017482,PARAMOUNT MEDICAL SERVICES GROUP INC,DOMP,A,3730 W 10TH CT,HIALEAH,,33012,03272026,,SANCHEZ             DANIEL,HIALEAH,FL,P: SANCHEZ             DANIEL,20260403_corporate.txt
L26000175592,"GOINES LEGAL SOLUTIONS, PLLC",FLAL,A,1511 TIGER TOOTH PL,RUSKIN,,33570,03212026,,GOINES              TIFFANY,RUSKIN,FL,MGR: GOINES              TIFFANY,20260403_corporate.txt
L26000175612,"ASCERA DIGITAL, LLC",FLAL,A,2190 RESERVE PARK TRCE UNIT 11,PORT ST. LUCIE,,34986,03262026,,GONZALEZ            IVAN          J,PORT ST. LUCIE,FL,MGR: GONZALEZ            IVAN          J,20260403_corporate.txt
P26000017502,FOCUS CAPITAL & INFRASTRUCTURE CORP,DOMP,A,11440 NW 75 TERRACE,MEDLEY,,33178,03252026,,PEREZ PARILLI       JORGE,MEDLEY,FL,P: PEREZ PARILLI       JORGE,20260403_corporate.txt
L26000175742,"HRP ELITE CONSTRUCTION, LLC",FLAL,A,4764 BARTOW RD,GREENWOOD,,32443,03242026,,INC AUTHORITY RA,ORLANDO,FL,MGR: PERDUE              JORDAN | MGR: PERDUE              ERIC,20260403_corporate.txt
L26000175782,"DAGRIN DESIGN & CONSTRUCTION, LLC",FLAL,A,840 DARING DRIVE,DAVENPORT,,33837,03252026,,INC AUTHORITY RA,ORLANDO,FL,MGR: DAGRIN              DAVID,20260403_corporate.txt
L26000175812,"BRITO HOME SOLUTIONS, LLC",FLAL,A,1240 N PINE ISLAND RD APT 711,PLANTATION,,33324,03252026,,INC AUTHORITY RA,ORLANDO,FL,MGR: BRITO               LAZARO,20260403_corporate.txt
L26000175912,"HIGH HEAT CONSULTING, LLC",FLAL,A,1600 E. 8TH AVENUE SUITE A200,TAMPA,,33605,03262026,,RODRIGUEZ           LENNY          ESQ.,TAMPA,FL,MGR: RODRIGUEZ           LENNY          ESQ.,20260403_corporate.txt
L26000176002,JK VENTURES GROUP LLC,FLAL,A,3156 GREY MOSS DRIVE,SAINT CLOUD,,34773,03262026,,KRAHL               MELISSA       L,SAINT CLOUD,FL,MGR: JOHNSON             BRIAN | MGR: KRAHL               MELISSA       L,20260403_corporate.txt
L26000176032,"CLINICEASE MEDICAL CODING & REVENUE, LLC",FLAL,A,10761 SW 150TH TERRACE,MIAMI,,33176,03262026,,REYES               CAROLINA,MIAMI,FL,P: REYES               CAROLINA,20260403_corporate.txt
L26000176072,S&S GLOBAL INVESTMENTS LLC,FLAL,A,20900 NE 30TH AVENUE SUITE 714,AVENTURA,,33180,03262026,,SAME MONTERO        YANIESKY,AVENTURA,FL,MGR: SAME MONTERO        YANIESKY | MGR: RODRIGUEZ SOSA      SUSANA,20260403_corporate.txt
L26000176092,AHAVA MEDICAL CENTER LLC,FLAL,A,5911 NW 173RD DR UNIT 14,HIALEAH,,33015,04022026,415285193,ALOMA               DAYMA,HIALEAH,FL,AMBR: ALOMA               DAYMA,20260403_corporate.txt
L26000176112,REGAIN INVESTMENTS LLC,FLAL,A,30674 CHESAPEAKE BAY DR,WESLEY CHAPEL,,33543,03262026,,ABUOLIEM            ABDALLAH,WESLEY CHAPEL,FL,MGR: ABUOLIEM            ABDALLAH,20260403_corporate.txt
L26000176132,INVESTMENTS VJMJ LLC,FLAL,A,6822 NW 166TH TER 705,MIAMI LAKES,,33014,03262026,,CORDERO MANJARREZ   HODALYS,MIAMI LAKES,FL,AMBR: CORDERO MANJARREZ   HODALYS,20260403_corporate.txt
L26000176272,ARIA MEDICAL CENTERS LLC,FLAL,A,4777 W FLAGLER ST,MIAMI,,33134,03262026,,SANCHEZ MESA        NOSLEN,MIAMI,FL,MGR: SANCHEZ MESA        NOSLEN,20260403_corporate.txt
L26000176442,REVITI TECHNOLOGIES LLC,FLAL,A,334 VISTA OAK DR,LONGWOOD,,32779,03262026,,"LEGALZOOM USCA, INC.",FORT LAUDERDALE,FL,MGR: BAUERLE             ANNA          C,20260403_corporate.txt
L26000176472,VELO AI LLC,FLAL,A,121 N FAIRFAX AVE,WINTER SPRINGS,,32708,03262026,,HERRERA BURGOS      GABRIEL,WINTER SPRINGS,FL,MGR: HERRERA BURGOS      GABRIEL,20260403_corporate.txt
